Przetłumacz:
dodać,plus
odjąć,moins
pomnożyć,fois
podzielić,divise par
równa się,egale
zero,zero
jeden,un
dwa,deux
trzy,trois
cztery,quatre
pięć,cinq
sześć,six
siedem,sept
osiem,huit
dziewięć,neuf
dziesięć,dix
jedenaście,onze
dwanaście,douze
trzynaście,treize
czternaście,quatorze
piętnaście,quinze
szesnaście,seize
siedemnaście,dix-sept
osiemnaście,dix-huit
dziewiętnaście,dix-neuf
dwadzieścia,vingt
niemiec,allemand
polonais,polak
neerlandais,niderlandczyk
finlandais,finlandczyk
italien,włoch
autrichien,austriak
danois,duńczyk
suedois,szwed
chinois,chińczyk
americain,amerykanin
russe,rosjanin
belge,belg
grec,grek
turc,turek
allemande,niemka
polonaise,polka
neerlandaise,niderlandka
finlandaise,finka
italienne,włoszka
autrichienne,austriaczka
danoise,dunka
suedoise,szwedka
chinoise,chinka
americaine,amerykanka
russe,rosjanka
belge,belgijka
greque,greczynka
turque,turczynka
vrai,prawda
faux,fałsz
